content,score
capek kali saya sama aplikasi kalian harus download hapus download hapus sebab gak bisa d buka aplikasi nya sekali bisa d buka aplikasinya belanjaannya gak ada kata orang toko banyak barang yang gak ada kalau emang gak ada seharusnya kan gak bisa di check out kan.. ini udh capek² saya download tau² barang gak ada kecewa berat saya sama alfamart/alfagift tolong di perbaiki ya min,1
"makin kesini makin menurut kualitas nya!!!!! keseringan pesen makanan tiba"" status sudah diterima padahal belum menerima sama sekali!!!",1
tidak bisa masuk aplikasi,3
pas ga ribet,5
B aja,3
tdnya bintang 5 sekarang kasih bintang 3... pdhl sy sdh lama pake alfagirt sangat2 membantu utk beli segala macam kebutuhan apa lg banyak promo2nya. skrg sy sangat kecewa kok setiap buka alfagift kok keluar sendiri jd sy tidak bisa lg belanja menggunakan alfagift 😪 keluar bacaan warning 70007 tool (happy mood telah terdeteksi silahkan hapus) tp cara menghapusnya gmn 😭,3
"kalo semisalnya ga bisa ngirim makzimal estimasi 1 jam jangan di adain pilihan itu dong min, saya sudah tunggu 2 jam tau gitu mending beli langsung aja k alfa",1
"Pengirimannya lama, mending beli langsung. apk gak guna",1
ini cara batalin pemesanan gimana dah? perasaan dulu bisa soalnya salah pilih alamat sedangkan pihak alfa nya tidak nyaut pas di chat,4
"pengiriman lama bangett, di chat jga g bales, cs nya juga sama g ngsh solusi apapun",5
"aplikasi yang SANGAT RIBET, RUWET, mau claim potong poin aja, harus buka aplikasi, pakai Pin, dll. Malah enak yang dulu, cuma pakai kartu/ no hp, bisa langsung potong poin di kasir tanpa harus ini itu. Saya sudah beberapa kali mau potong poin kayak sulit gitu di toko Alfamart. Barusan saya mau potong poin, eeeh..kasirnya bilang ""tidak bisa Pak, Bisa nya dipakai besok"" kan saya bingung.Ini aplikasi gimana maksudnya.. Ya sudah akhirnya saya pakai tunai aja.Punya poin tapi gak bisa digunakan, RIBET",1
mau daftar aja lama bgt,1
memudahkan untuk belanja kebutuhan rumah dll enaknya di apk ini kita belanja sepuasnya tanpa harus mikir ongkir mantapp alfagift🔥🔥,5
kadang eror ..selalu di perbaiki oleh petugas kasir,4
"pengiriman nya lelet banget, pesen dari jam 9 pagi sampai jam 12 siang belum aja di kirim, padahal udah pilih batas pengiriman 1 jam, ngecek di track pesanan sudah di antar tapi kenyataannya pesanan belum di antar, giliran komplen malah di jawab dengan enteng ""iya belum di antar pesanan masih di saya"", kalo gini caranya jangan ada pesan antar kaya gini!!!!! merugikan konsumen!!!!!!!",1
